address,area,price
中山海景广场-中山路,思明,2500
香港广场-思明北路,思明,3700
假日香港广场-厦禾路,思明,4500
假日香港广场-思明北路,思明,4350
联邦广场-禾祥西路,思明,2200
罗宾森璀璨新城二期-火车站,思明,5800
罗宾森璀璨新城二期-火车站,思明,3600
罗宾森璀璨新城1期-火车站,思明,4300
新景花园-软件园,思明,4000
新景花园-软件园,思明,4500
罗宾森璀璨新城1期-火车站,思明,5500
罗宾森璀璨新城1期-火车站,思明,3700
侨福城3期-莲前东路,思明,3600
嘉盛豪园-莲前东路,思明,6000
卧龙晓城-莲前西路,思明,4300
家家海景-前埔北区,思明,4500
香山海景苑-软件园,思明,4500
文秀阁-文园路,思明,3200
罗宾森-火车站,思明,800
香山海景苑-前埔南区,思明,6800
新景花园-软件园,思明,3500
软件园二期-软件园,思明,3300
华林东盛花园二期-前埔北区,思明,4400
软件园二期-软件园,思明,11000
香港广场-思明北路,思明,4500
卧龙晓城-莲前西路,思明,3000
单位宿舍-禾祥西路,思明,1000
卧龙晓城-莲前西路,思明,4200
山木清华-莲前,思明,2900
裕发广场-富山,思明,2998
米兰春天-湖滨北路,思明,3900
湖滨名宫-白鹭洲路,思明,7800
恒滨名宫-白鹭洲路,思明,4300
大正大厦-白鹭洲路,思明,5000
岭兜佳园小区-前埔南区,思明,2600
明发园-前埔北区,思明,2300
岭兜小区-前埔北区,思明,3700
国贸汇景-前埔北区,思明,5500
金鸡亭花园-金鸡亭,思明,3200
罗宾森广场-厦禾路,思明,6800
禹州世贸国际-厦禾路,思明,4200
禹州世贸国际-厦禾路,思明,3500
前埔北区一里-莲前东路,思明,3800
云亭花园-金鸡亭,思明,4600
卧龙晓城-槟榔东里,思明,3600
金鸡亭-金鸡亭,思明,3400
卧龙晓城-莲前西路,思明,5500
源昌广场-禾祥东路,思明,4300
明发商城-莲前西路,思明,3200
厦航宿舍-瑞景,思明,4500
都市新巢-莲前,思明,2700
文屏巷-文灶,思明,2700
嘉盛豪园-瑞景,思明,4500
嘉盛豪园-瑞景,思明,7200
罗宾森广场二期-厦禾路,思明,4300
罗宾森广场二期-厦禾路,思明,3800
华年屯-槟榔东里,思明,4000
协成通商大厦-鹭江道,思明,6800
假日香港广场-思明北路,思明,3700
卧龙晓城-莲前西路,思明,4400
嘉盛豪园-瑞景,思明,4300
山木清华-莲前,思明,3500
海峡国际社区二期-会展路,思明,6200
金鸡亭花园小区-金鸡亭,思明,3600
假日香港广场-思明北路,思明,5500
老虎城-中山路,思明,2400
假日香港广场-思明北路,思明,4200
山木清华-莲前,思明,4300
前埔北区一里-莲前东路,思明,3800
金鸡亭花园-金鸡亭,思明,3100
新景花园-软件园,思明,3000
海艺大厦-软件园,思明,2200
明发园-软件园,思明,2200
华林东盛二期-莲前东路,思明,4300
岭兜二里-软件园,思明,3000
盘古社区-软件园,思明,1650
罗宾森广场-厦禾路,思明,5500
南洋大厦-禾祥东路,思明,6800
卧龙晓城-莲前西路,思明,4600
华林紫薇花园-莲前东路,思明,3800
联丰新城-瑞景,思明,4800
中山海景广场-中山路,思明,1050
中山海景广场-中山路,思明,1000
大同路-中山路,思明,2300
国贸金海岸-鹭江道,思明,8500
云亭花园-莲前,思明,3500
金鸡亭-金鸡亭,思明,2900
莲福阁-莲前,思明,2700
夏商宿舍-莲前西路,思明,3000
山木清华-莲前,思明,4200
侨福城小区三期-莲前东路,思明,4200
云亭花园-莲前,思明,4200
岭兜小区-前埔北区,思明,3600
嘉盛豪园-瑞景,思明,4800
嘉盛豪园-瑞景,思明,5900
嘉盛豪园-瑞景,思明,6000
海湾新城-湖滨北路,思明,4800
武夷嘉园-白鹭洲路,思明,4800
金桥园-湖滨北路,思明,5800
金星大厦-长青路,思明,1900
米兰春天-湖滨北路,思明,3400
华天花园-嘉禾路,思明,4800
华天花园-嘉禾路,思明,2900
信和中央广场-嘉禾路,思明,4000
华天花园-嘉禾路,思明,5800
宝华花园-湖滨北路,思明,4200
摩登时代大厦-嘉禾路,思明,2000
华林紫薇-白城,思明,3000
英皇湖畔花苑-松柏,思明,4999
瑞景生活广场-瑞景,思明,4200
怡祥大厦-松柏,思明,4000
九龙城-厦禾路,思明,1000
湖北大厦-松柏,思明,2600
禾祥首府（思明苑二期）-禾祥西路,思明,3600
米兰春天-湖滨北路,思明,2900
汇丰家园-文灶,思明,2800
禾祥首府（思明苑二期）-禾祥西路,思明,3300
摩登时代大厦-嘉禾路,思明,2200
米兰春天-湖滨北路,思明,3199
一代风华-松柏,思明,1700
摩登时代大厦-嘉禾路,思明,2700
米兰春天-湖滨北路,思明,3100
摩登时代-仙岳路,思明,2600
摩登时代-仙岳路,思明,2800
太平洋广场北楼-嘉禾路,思明,1800
太平洋广场北楼-嘉禾路,思明,1700
湖北大厦-松柏,思明,2800
米兰春天-湖滨北路,思明,3000
四川大厦-筼筜路,思明,3100
汇丰家园-文灶,思明,3400
新景花园-软件园,思明,2700
岭兜一里-软件园,思明,3200
官邸大厦-厦禾路,思明,2600
一代风华-松柏,思明,1800
一代风华-松柏,思明,1800
摩登时代大厦-嘉禾路,思明,2500
摩登时代大厦-嘉禾路,思明,2600
火车站禹州世贸-火车站,思明,3200
九龙城-厦禾路,思明,2700
摩登时代-仙岳路,思明,2500
米兰春天-湖滨北路,思明,3100
禾祥首府（思明苑二期）-禾祥西路,思明,3300
文兴东二里-前埔南区,思明,2200
东芳山庄-槟榔东里,思明,15000
故宫小区-故宫路,思明,3200
故宫小区-故宫路,思明,15000
源通中心-厦禾路,思明,2500
明发园-前埔北区,思明,1900
海峡国际社区二期-会展路,思明,6300
海峡国际社区四期-会展路,思明,7000
海峡国际社区三期-会展路,思明,32000
海峡国际社区二期-会展路,思明,4300
前埔北区一里-前埔北区,思明,3300
水晶国际-观音山,思明,3600
复兴世纪-富山,思明,5500
莲富大厦-富山,思明,900
罗宾森璀璨新城1期-火车站,思明,1700
罗宾森璀璨新城1期-火车站,思明,1300
新景花园-软件园,思明,3000
米兰春天-湖滨北路,思明,3900
米兰春天-湖滨北路,思明,3900
仙岳嘉园-松柏,思明,1400
华林紫薇花园-莲前东路,思明,3500
新景花园-软件园,思明,2600
岭兜佳园-软件园,思明,2500
岭兜一里-软件园,思明,4500
碧海晴空-软件园,思明,2600
软件园二期-软件园,思明,1800
软件园二期-软件园,思明,2900
建发花园二期-火车站,思明,2000
嘉盛豪园-瑞景,思明,4100
嘉盛豪园二期-瑞景,思明,4500
前埔南小区-前埔南区,思明,4600
卧龙晓城东芳山庄-软件园,思明,720
东芳山庄-莲前,思明,720
卧龙晓城-槟榔东里,思明,4700
金沙花园-莲前西路,思明,4300
鸿禧花园-莲花五村,思明,4600
卧龙晓城-槟榔东里,思明,3500
